821;;Media (ms);Esecuzioni completate (su 1000)
2781;;929,5225677;997
520;;;
1465;;;
558;;;
1711;;;
977;;;
694;;;
790;;;
760;;;
794;;;
586;;;
553;;;
493;;;
833;;;
675;;;
1743;;;
716;;;
629;;;
1713;;;
1714;;;
806;;;
791;;;
1716;;;
714;;;
743;;;
615;;;
1885;;;
503;;;
931;;;
674;;;
651;;;
930;;;
524;;;
1772;;;
736;;;
643;;;
597;;;
569;;;
599;;;
1785;;;
1531;;;
638;;;
471;;;
569;;;
1381;;;
930;;;
937;;;
703;;;
875;;;
588;;;
810;;;
852;;;
666;;;
1759;;;
596;;;
596;;;
487;;;
850;;;
1736;;;
954;;;
648;;;
685;;;
680;;;
701;;;
631;;;
680;;;
494;;;
592;;;
627;;;
1668;;;
680;;;
539;;;
1640;;;
558;;;
527;;;
532;;;
1476;;;
1716;;;
825;;;
506;;;
739;;;
728;;;
1676;;;
661;;;
823;;;
735;;;
502;;;
1615;;;
1769;;;
1687;;;
446;;;
1557;;;
732;;;
437;;;
525;;;
965;;;
712;;;
1636;;;
1769;;;
718;;;
600;;;
914;;;
585;;;
1813;;;
627;;;
1774;;;
686;;;
638;;;
529;;;
650;;;
683;;;
595;;;
1961;;;
590;;;
1154;;;
1673;;;
1684;;;
1557;;;
703;;;
767;;;
1737;;;
1844;;;
692;;;
699;;;
710;;;
1777;;;
761;;;
764;;;
746;;;
527;;;
766;;;
877;;;
614;;;
551;;;
531;;;
703;;;
464;;;
588;;;
1791;;;
750;;;
1539;;;
715;;;
638;;;
1824;;;
809;;;
622;;;
3420;;;
577;;;
622;;;
1758;;;
1535;;;
654;;;
592;;;
804;;;
1001;;;
795;;;
519;;;
524;;;
572;;;
569;;;
670;;;
616;;;
528;;;
758;;;
558;;;
769;;;
577;;;
553;;;
724;;;
515;;;
628;;;
858;;;
485;;;
685;;;
769;;;
1650;;;
473;;;
679;;;
1854;;;
519;;;
1635;;;
623;;;
611;;;
851;;;
730;;;
708;;;
617;;;
1574;;;
502;;;
972;;;
1546;;;
555;;;
491;;;
500;;;
586;;;
666;;;
682;;;
796;;;
526;;;
696;;;
810;;;
575;;;
497;;;
795;;;
818;;;
503;;;
456;;;
1518;;;
683;;;
580;;;
790;;;
535;;;
1491;;;
763;;;
515;;;
1632;;;
532;;;
533;;;
837;;;
468;;;
552;;;
601;;;
1705;;;
515;;;
1721;;;
742;;;
679;;;
545;;;
575;;;
1688;;;
1568;;;
596;;;
507;;;
808;;;
666;;;
1693;;;
595;;;
854;;;
695;;;
1419;;;
657;;;
715;;;
656;;;
630;;;
653;;;
761;;;
928;;;
1686;;;
762;;;
880;;;
666;;;
981;;;
483;;;
719;;;
1221;;;
770;;;
699;;;
2911;;;
768;;;
554;;;
1900;;;
691;;;
655;;;
1789;;;
567;;;
909;;;
636;;;
715;;;
1691;;;
1556;;;
526;;;
1708;;;
1590;;;
868;;;
2745;;;
794;;;
2918;;;
618;;;
611;;;
608;;;
2870;;;
739;;;
664;;;
713;;;
527;;;
1422;;;
754;;;
726;;;
751;;;
495;;;
502;;;
533;;;
923;;;
612;;;
783;;;
618;;;
521;;;
733;;;
674;;;
821;;;
537;;;
1630;;;
582;;;
890;;;
674;;;
637;;;
886;;;
494;;;
548;;;
625;;;
916;;;
571;;;
606;;;
761;;;
695;;;
680;;;
902;;;
728;;;
858;;;
620;;;
719;;;
695;;;
1798;;;
828;;;
394;;;
751;;;
558;;;
1609;;;
966;;;
632;;;
1710;;;
700;;;
717;;;
631;;;
724;;;
824;;;
796;;;
610;;;
1694;;;
492;;;
855;;;
550;;;
557;;;
500;;;
1647;;;
1475;;;
527;;;
681;;;
554;;;
1791;;;
561;;;
1746;;;
778;;;
1775;;;
665;;;
556;;;
644;;;
627;;;
713;;;
840;;;
542;;;
918;;;
829;;;
955;;;
697;;;
575;;;
760;;;
642;;;
1829;;;
776;;;
1628;;;
731;;;
638;;;
1546;;;
702;;;
3634;;;
771;;;
649;;;
619;;;
1909;;;
1558;;;
1970;;;
1494;;;
837;;;
1441;;;
818;;;
460;;;
464;;;
691;;;
677;;;
588;;;
719;;;
698;;;
534;;;
512;;;
806;;;
595;;;
578;;;
577;;;
450;;;
688;;;
709;;;
1521;;;
692;;;
564;;;
770;;;
818;;;
558;;;
948;;;
2714;;;
1558;;;
723;;;
699;;;
799;;;
629;;;
713;;;
730;;;
439;;;
1665;;;
744;;;
569;;;
783;;;
831;;;
868;;;
1541;;;
2430;;;
881;;;
652;;;
651;;;
1502;;;
821;;;
1673;;;
419;;;
666;;;
520;;;
916;;;
1559;;;
897;;;
1668;;;
593;;;
1371;;;
724;;;
693;;;
679;;;
1572;;;
835;;;
1829;;;
916;;;
661;;;
1496;;;
623;;;
567;;;
720;;;
564;;;
469;;;
764;;;
619;;;
723;;;
814;;;
635;;;
1071;;;
734;;;
812;;;
567;;;
699;;;
676;;;
688;;;
567;;;
793;;;
654;;;
457;;;
672;;;
792;;;
779;;;
458;;;
737;;;
961;;;
1662;;;
2818;;;
1841;;;
2907;;;
654;;;
561;;;
464;;;
479;;;
1707;;;
1091;;;
1583;;;
667;;;
782;;;
539;;;
616;;;
770;;;
581;;;
755;;;
1715;;;
739;;;
755;;;
580;;;
679;;;
531;;;
644;;;
1416;;;
556;;;
482;;;
624;;;
699;;;
762;;;
745;;;
649;;;
765;;;
681;;;
613;;;
793;;;
1626;;;
751;;;
768;;;
925;;;
798;;;
840;;;
1764;;;
1944;;;
768;;;
1781;;;
591;;;
1551;;;
622;;;
734;;;
1685;;;
1961;;;
456;;;
624;;;
455;;;
1772;;;
885;;;
601;;;
523;;;
632;;;
1659;;;
1914;;;
897;;;
1609;;;
882;;;
973;;;
571;;;
513;;;
931;;;
680;;;
648;;;
1852;;;
610;;;
697;;;
479;;;
716;;;
774;;;
579;;;
758;;;
729;;;
1478;;;
1715;;;
1765;;;
564;;;
567;;;
685;;;
551;;;
565;;;
908;;;
2687;;;
941;;;
975;;;
683;;;
1626;;;
687;;;
843;;;
748;;;
599;;;
2534;;;
432;;;
786;;;
539;;;
629;;;
1699;;;
566;;;
861;;;
534;;;
1760;;;
703;;;
1719;;;
646;;;
628;;;
2780;;;
752;;;
1726;;;
641;;;
703;;;
1542;;;
1908;;;
764;;;
690;;;
790;;;
790;;;
517;;;
589;;;
1574;;;
837;;;
731;;;
1878;;;
714;;;
492;;;
1652;;;
788;;;
754;;;
629;;;
753;;;
615;;;
668;;;
1706;;;
446;;;
548;;;
1653;;;
733;;;
709;;;
634;;;
758;;;
2595;;;
655;;;
811;;;
713;;;
855;;;
1675;;;
495;;;
1691;;;
723;;;
677;;;
1674;;;
941;;;
982;;;
1916;;;
569;;;
1131;;;
480;;;
1699;;;
499;;;
625;;;
894;;;
566;;;
1950;;;
656;;;
1554;;;
630;;;
617;;;
818;;;
707;;;
646;;;
1674;;;
