3683;;Media (ms);Esecuzioni completate (su 1000)
3995;;3026,296371;992
3335;;;
3410;;;
3330;;;
3390;;;
2461;;;
4416;;;
3333;;;
3401;;;
3253;;;
2422;;;
3314;;;
4355;;;
2526;;;
3384;;;
2605;;;
2478;;;
3356;;;
3373;;;
2451;;;
2614;;;
3294;;;
2481;;;
3412;;;
3153;;;
3370;;;
3364;;;
2490;;;
4110;;;
3379;;;
2560;;;
2502;;;
2510;;;
3371;;;
2595;;;
4079;;;
2449;;;
3387;;;
4006;;;
3312;;;
3342;;;
4306;;;
2526;;;
2425;;;
2514;;;
2404;;;
2490;;;
2459;;;
2526;;;
2464;;;
3363;;;
3415;;;
3381;;;
2394;;;
2377;;;
3348;;;
3301;;;
2445;;;
3441;;;
2546;;;
2473;;;
3384;;;
3431;;;
3451;;;
4408;;;
3303;;;
2567;;;
2541;;;
3449;;;
2420;;;
3357;;;
3353;;;
3406;;;
3441;;;
2457;;;
3310;;;
2532;;;
3296;;;
2483;;;
3156;;;
3293;;;
2532;;;
3426;;;
2434;;;
3270;;;
3398;;;
3466;;;
2598;;;
3424;;;
3356;;;
3342;;;
2455;;;
2482;;;
2400;;;
2548;;;
3515;;;
2570;;;
3300;;;
3527;;;
2403;;;
3180;;;
3358;;;
3260;;;
3367;;;
2505;;;
2588;;;
3287;;;
2534;;;
3275;;;
3360;;;
2567;;;
3238;;;
2502;;;
2417;;;
3420;;;
3290;;;
4394;;;
2560;;;
3402;;;
3342;;;
3378;;;
2500;;;
2416;;;
3356;;;
2408;;;
2590;;;
3361;;;
2466;;;
3396;;;
2448;;;
3341;;;
3322;;;
4111;;;
2389;;;
2532;;;
2469;;;
2590;;;
3425;;;
3391;;;
3275;;;
2476;;;
2400;;;
2572;;;
3382;;;
3409;;;
4085;;;
3433;;;
2466;;;
3443;;;
2500;;;
2560;;;
2398;;;
3377;;;
2615;;;
3385;;;
3391;;;
3403;;;
3286;;;
3361;;;
2528;;;
2517;;;
3324;;;
3373;;;
3337;;;
3359;;;
2545;;;
2426;;;
3360;;;
3764;;;
2568;;;
3311;;;
2444;;;
2493;;;
3388;;;
2521;;;
3372;;;
2459;;;
4318;;;
3410;;;
2475;;;
2474;;;
2440;;;
2462;;;
2605;;;
2492;;;
3614;;;
3404;;;
3467;;;
3431;;;
3318;;;
3182;;;
2516;;;
3285;;;
3119;;;
2591;;;
4125;;;
3404;;;
2402;;;
2507;;;
3349;;;
3391;;;
2423;;;
2609;;;
3286;;;
2494;;;
3323;;;
2437;;;
3427;;;
3347;;;
3434;;;
4303;;;
2439;;;
3314;;;
3362;;;
2508;;;
3353;;;
3633;;;
3366;;;
3229;;;
3423;;;
4332;;;
3273;;;
2507;;;
2535;;;
3406;;;
2524;;;
2477;;;
3332;;;
2438;;;
2454;;;
2471;;;
3345;;;
3433;;;
3274;;;
3447;;;
2587;;;
2486;;;
3397;;;
3144;;;
2456;;;
4195;;;
4066;;;
3374;;;
2484;;;
2567;;;
2513;;;
3386;;;
2472;;;
2476;;;
3312;;;
2538;;;
2505;;;
2545;;;
3257;;;
2587;;;
2529;;;
3567;;;
2535;;;
3372;;;
2637;;;
4274;;;
