3585;;Media (ms);Esecuzioni completate (su 1000)
2678;;2769,438833;891
3084;;;
2318;;;
3178;;;
2288;;;
2194;;;
2460;;;
3319;;;
2319;;;
3116;;;
3194;;;
3038;;;
2225;;;
2194;;;
3366;;;
3241;;;
3334;;;
3194;;;
2131;;;
2288;;;
3210;;;
3256;;;
2334;;;
2413;;;
2334;;;
3225;;;
3209;;;
3068;;;
3162;;;
2475;;;
2241;;;
3053;;;
3116;;;
3225;;;
2444;;;
2241;;;
2381;;;
3287;;;
2288;;;
2475;;;
2459;;;
2194;;;
3256;;;
3116;;;
3241;;;
2319;;;
2303;;;
2443;;;
2506;;;
3100;;;
2357;;;
2241;;;
2397;;;
3303;;;
2319;;;
3288;;;
3225;;;
2225;;;
3194;;;
2413;;;
3193;;;
3131;;;
2194;;;
2319;;;
2225;;;
3194;;;
3116;;;
2335;;;
2319;;;
3241;;;
3257;;;
3507;;;
3319;;;
2475;;;
2303;;;
3053;;;
2428;;;
3194;;;
2225;;;
3209;;;
2444;;;
3178;;;
2194;;;
3210;;;
2241;;;
2303;;;
2194;;;
3257;;;
2335;;;
2366;;;
2225;;;
3225;;;
3147;;;
2225;;;
3428;;;
2396;;;
2288;;;
3132;;;
3491;;;
2288;;;
3084;;;
3178;;;
2694;;;
3319;;;
3272;;;
3179;;;
3241;;;
3131;;;
2272;;;
2241;;;
2209;;;
2131;;;
3178;;;
2288;;;
2162;;;
2318;;;
2334;;;
3152;;;
2553;;;
3115;;;
2194;;;
3162;;;
2381;;;
2537;;;
2257;;;
3413;;;
3178;;;
3163;;;
2225;;;
2225;;;
3131;;;
3038;;;
3116;;;
3210;;;
2350;;;
2509;;;
3132;;;
2319;;;
2303;;;
2537;;;
3037;;;
3053;;;
3225;;;
3335;;;
2241;;;
3303;;;
2350;;;
3178;;;
3116;;;
2397;;;
2303;;;
3147;;;
3210;;;
3147;;;
3178;;;
3178;;;
3178;;;
3178;;;
2319;;;
2256;;;
3350;;;
2350;;;
3131;;;
3303;;;
2225;;;
3319;;;
2319;;;
2335;;;
3162;;;
2381;;;
2397;;;
2319;;;
2257;;;
2522;;;
2335;;;
3163;;;
3084;;;
2366;;;
2303;;;
3287;;;
2397;;;
3303;;;
3303;;;
2319;;;
2318;;;
3272;;;
3303;;;
2162;;;
2991;;;
3210;;;
2240;;;
2178;;;
2397;;;
2271;;;
2382;;;
2303;;;
3147;;;
2225;;;
2569;;;
3084;;;
3054;;;
3240;;;
2240;;;
3085;;;
2162;;;
3116;;;
3241;;;
3240;;;
3162;;;
2287;;;
3162;;;
3147;;;
2397;;;
3318;;;
3178;;;
3181;;;
3131;;;
3116;;;
3163;;;
3147;;;
2225;;;
2506;;;
3303;;;
3162;;;
3037;;;
3194;;;
2193;;;
2163;;;
2335;;;
3334;;;
2256;;;
3147;;;
2303;;;
3131;;;
2209;;;
2366;;;
3116;;;
2257;;;
3163;;;
3084;;;
3022;;;
2366;;;
3194;;;
2288;;;
2178;;;
2397;;;
3225;;;
2225;;;
3147;;;
3132;;;
2256;;;
2225;;;
3115;;;
3068;;;
3131;;;
2366;;;
3319;;;
2256;;;
3194;;;
2428;;;
2225;;;
3225;;;
3116;;;
2381;;;
2272;;;
2287;;;
3241;;;
2522;;;
2522;;;
3116;;;
3178;;;
3225;;;
2241;;;
