1343;;Media (ms);Esecuzioni completate (su 1000)
1594;;1415,53;1000
1593;;;
1531;;;
1359;;;
1375;;;
1562;;;
1469;;;
1406;;;
1532;;;
1516;;;
1437;;;
1375;;;
1266;;;
1438;;;
1297;;;
1453;;;
1516;;;
1406;;;
1578;;;
1406;;;
1438;;;
1453;;;
1437;;;
1609;;;
1500;;;
1437;;;
1438;;;
1422;;;
1390;;;
1454;;;
1360;;;
1359;;;
1484;;;
1421;;;
1438;;;
1375;;;
1297;;;
1453;;;
1422;;;
1406;;;
1344;;;
1407;;;
1390;;;
1375;;;
1313;;;
1297;;;
1359;;;
1313;;;
1359;;;
1219;;;
1609;;;
1390;;;
1531;;;
1297;;;
1422;;;
1546;;;
1328;;;
1375;;;
1734;;;
1438;;;
1579;;;
1328;;;
1391;;;
1328;;;
1375;;;
1313;;;
1578;;;
1422;;;
1265;;;
1344;;;
1375;;;
1391;;;
1437;;;
1437;;;
1469;;;
1547;;;
1343;;;
1359;;;
1375;;;
1407;;;
1422;;;
1437;;;
1578;;;
1359;;;
1328;;;
1375;;;
1391;;;
1359;;;
1359;;;
1344;;;
1409;;;
1375;;;
1438;;;
1359;;;
1313;;;
1531;;;
1672;;;
1297;;;
1312;;;
1359;;;
1296;;;
1484;;;
1609;;;
1406;;;
1344;;;
1313;;;
1625;;;
1266;;;
1578;;;
1438;;;
1375;;;
1422;;;
1750;;;
1328;;;
1516;;;
1360;;;
1391;;;
1437;;;
1359;;;
1421;;;
1360;;;
1485;;;
1531;;;
1500;;;
1359;;;
1422;;;
1422;;;
1328;;;
1343;;;
1547;;;
1360;;;
1359;;;
1360;;;
1391;;;
1313;;;
1390;;;
1439;;;
1360;;;
1469;;;
1719;;;
1422;;;
1656;;;
1437;;;
1469;;;
1391;;;
1296;;;
1453;;;
1265;;;
1391;;;
1719;;;
1375;;;
1438;;;
1375;;;
1437;;;
1437;;;
1297;;;
1265;;;
1390;;;
1375;;;
1359;;;
1469;;;
1329;;;
1406;;;
1281;;;
1400;;;
1422;;;
1359;;;
1375;;;
1391;;;
1500;;;
1344;;;
1563;;;
1359;;;
1437;;;
1437;;;
1422;;;
1422;;;
1375;;;
1422;;;
1531;;;
1421;;;
1406;;;
1437;;;
1328;;;
1407;;;
1375;;;
1422;;;
1641;;;
1531;;;
1485;;;
1422;;;
1312;;;
1391;;;
1453;;;
1406;;;
1360;;;
1468;;;
1406;;;
1343;;;
1328;;;
1453;;;
1421;;;
1515;;;
1547;;;
1375;;;
1375;;;
1406;;;
1359;;;
1422;;;
1484;;;
1610;;;
1391;;;
1360;;;
1391;;;
1469;;;
1406;;;
1359;;;
1625;;;
1485;;;
1454;;;
1500;;;
1468;;;
1515;;;
1484;;;
1281;;;
1515;;;
1391;;;
1438;;;
1454;;;
1484;;;
1344;;;
1250;;;
1484;;;
1531;;;
1407;;;
1391;;;
1375;;;
1343;;;
1328;;;
1656;;;
1422;;;
1344;;;
1469;;;
1391;;;
1391;;;
1438;;;
1453;;;
1344;;;
1563;;;
1516;;;
1359;;;
1547;;;
1484;;;
1359;;;
1438;;;
1360;;;
1313;;;
1422;;;
1329;;;
1437;;;
1438;;;
1391;;;
1391;;;
1406;;;
1422;;;
1390;;;
1406;;;
1407;;;
1437;;;
1250;;;
1407;;;
1625;;;
1359;;;
1344;;;
1344;;;
1406;;;
1422;;;
1438;;;
1516;;;
1563;;;
1344;;;
1266;;;
1422;;;
1563;;;
1421;;;
1344;;;
1359;;;
1625;;;
1500;;;
1407;;;
1625;;;
1563;;;
1328;;;
1484;;;
1500;;;
1391;;;
1516;;;
1360;;;
1375;;;
1375;;;
1547;;;
1453;;;
1375;;;
1406;;;
1328;;;
1422;;;
1328;;;
1407;;;
1359;;;
1266;;;
1594;;;
1329;;;
1234;;;
1312;;;
1406;;;
1343;;;
1406;;;
1344;;;
1391;;;
1328;;;
1375;;;
1422;;;
1422;;;
1282;;;
1438;;;
1422;;;
1578;;;
1469;;;
1609;;;
1391;;;
1281;;;
1360;;;
1250;;;
1406;;;
1453;;;
1406;;;
1313;;;
1359;;;
1266;;;
1437;;;
1453;;;
1563;;;
1391;;;
1594;;;
1453;;;
1343;;;
1469;;;
1328;;;
1375;;;
1750;;;
1546;;;
1406;;;
1469;;;
1328;;;
1391;;;
1313;;;
1328;;;
1578;;;
1359;;;
1578;;;
1375;;;
1578;;;
1344;;;
1234;;;
1360;;;
1390;;;
1406;;;
1375;;;
1437;;;
1359;;;
1297;;;
1594;;;
1250;;;
1594;;;
1344;;;
1563;;;
1329;;;
1297;;;
1454;;;
1453;;;
1500;;;
1407;;;
1407;;;
1313;;;
1218;;;
1329;;;
1484;;;
1469;;;
1407;;;
1438;;;
1438;;;
1391;;;
1328;;;
1406;;;
1594;;;
1328;;;
1391;;;
1234;;;
1407;;;
1360;;;
1312;;;
1407;;;
1359;;;
1672;;;
1610;;;
1500;;;
1328;;;
1360;;;
1343;;;
1406;;;
1593;;;
1344;;;
1328;;;
1344;;;
1375;;;
1250;;;
1313;;;
1343;;;
1360;;;
1390;;;
1453;;;
1438;;;
1360;;;
1610;;;
1296;;;
1468;;;
1422;;;
1344;;;
1406;;;
1359;;;
1719;;;
1563;;;
1516;;;
1359;;;
1532;;;
1375;;;
1375;;;
1609;;;
1469;;;
1328;;;
1547;;;
1406;;;
1531;;;
1281;;;
1422;;;
1375;;;
1625;;;
1313;;;
